CODE_BARRES	NOM_COMMERCIAL	PRINCIPE_ACTIF	DOSAGE	EQUIVALENTS
6118001250561	CHEMOSET	ONDANSETRON	4 MG	CHEMOSET [6118001250578] | CHEMOSET [6118001250585] | CHEMOSET 2MG/ML [6118001250547] | DANTRON [6118001000210] | DANTRON [6118001000227] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230518] | ONDANSETRON MYLAN 4 MG/2ML [6118001021260] | VOGASET [6118000081845] | VOGASET [6118000081852] | ZOFRAN [6118001141487] | ZOFRAN [6118001141500]
6118001250578	CHEMOSET	ONDANSETRON	4 MG	CHEMOSET [6118001250561] | CHEMOSET [6118001250585] | CHEMOSET 2MG/ML [6118001250547] | DANTRON [6118001000210] | DANTRON [6118001000227] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230518] | ONDANSETRON MYLAN 4 MG/2ML [6118001021260] | VOGASET [6118000081845] | VOGASET [6118000081852] | ZOFRAN [6118001141487] | ZOFRAN [6118001141500]
6118001250585	CHEMOSET	ONDANSETRON	4 MG	CHEMOSET [6118001250561] | CHEMOSET [6118001250578] | CHEMOSET 2MG/ML [6118001250547] | DANTRON [6118001000210] | DANTRON [6118001000227] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230518] | ONDANSETRON MYLAN 4 MG/2ML [6118001021260] | VOGASET [6118000081845] | VOGASET [6118000081852] | ZOFRAN [6118001141487] | ZOFRAN [6118001141500]
6118001250592	CHEMOSET	ONDANSETRON	8 MG	CHEMOSET [6118001250608] | CHEMOSET [6118001250615] | CHEMOSET 2MG/ML [6118001250530] | DANTRON [6118001000234] | DANTRON [6118001000241] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230525] | ONDANSETRON GT [6118001270217] | ONDANSETRON GT 8 MG/4ML [6118001271016] | ONDANSETRON MYLAN 8 MG/4ML [6118001021277] | ONSET [6118001010103] | ONSET [6118001010165] | ONSET [6118010034565] | VOGASET [6118000081869] | VOGASET [6118000081876] | ZOFRAN [6118001141494] | ZOFRAN [6118001141517]
6118001250608	CHEMOSET	ONDANSETRON	8 MG	CHEMOSET [6118001250592] | CHEMOSET [6118001250615] | CHEMOSET 2MG/ML [6118001250530] | DANTRON [6118001000234] | DANTRON [6118001000241] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230525] | ONDANSETRON GT [6118001270217] | ONDANSETRON GT 8 MG/4ML [6118001271016] | ONDANSETRON MYLAN 8 MG/4ML [6118001021277] | ONSET [6118001010103] | ONSET [6118001010165] | ONSET [6118010034565] | VOGASET [6118000081869] | VOGASET [6118000081876] | ZOFRAN [6118001141494] | ZOFRAN [6118001141517]
6118001250615	CHEMOSET	ONDANSETRON	8 MG	CHEMOSET [6118001250592] | CHEMOSET [6118001250608] | CHEMOSET 2MG/ML [6118001250530] | DANTRON [6118001000234] | DANTRON [6118001000241] | ONDANSETRON AGUETTANT 2 MG/ML [6118001230525] | ONDANSETRON GT [6118001270217] | ONDANSETRON GT 8 MG/4ML [6118001271016] | ONDANSETRON MYLAN 8 MG/4ML [6118001021277] | ONSET [6118001010103] | ONSET [6118001010165] | ONSET [6118010034565] | VOGASET [6118000081869] | VOGASET [6118000081876] | ZOFRAN [6118001141494] | ZOFRAN [6118001141517]
6118001250622	GABAMOX	GABAPENTINE	300 MG	NEURONTIN [6118001170197] | NUPENTIN [6118001250776] | NUPENTIN [6118001250783] | NUPENTIN [6118001250790]
6118001250639	GABAMOX	GABAPENTINE	400 MG	NUPENTIN [6118001250806] | NUPENTIN [6118001250813] | NUPENTIN [6118001250820]
6118001250646	FERRIPROX	DEFERIPRONE	500 MG	
6118001250653	TRINOMYC	FLUCONAZOLE	2 MG	FLUCONAZOLE GT [6118001270330] | TRIFLUCAN [6118001170333] | TRINOMYC [6118001250509] | TRINOMYC [6118001250516] | TRINOMYC [6118001250523]
