CODE	NOM	DCI1	DOSAGE1	UNITE_DOSAGE1	FORME	PRESENTATION	PPV	PH	PRIX_BR	PRINCEPS_GENERIQUE	TAUX_REMBOURSEMENT
6118010020063	COQUELUSEDAL NOURRISSON	NIAOULI / GRINDELIA / GELSEMIUM	10/10/5	MG / MG / MG	SUPPOSITOIRE	1 BOITE 12 SUPPOSITOIRE	 11,40   	 7,50   	 11,40   	P	0%
6118001184057	NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE	NICOTINE	1.5	MG	PASTILLE A SUCER	1 BOITE 36 PASTILLE	 120,40   	 79,60   	 120,40   	P	0%
6118010120664	MICROPAKINE LP 100 MG	VALPROATE DE SODIUM	100	MG	GRANULE LP	1 BOITE 30 SACHET	 39,60   	 26,20   	 39,60   	P	0%
6118001081820	MICROPAKINE LP 100 MG	VALPROATE DE SODIUM	100	MG	GRANULE LP	1 BOITE 30 SACHET	 39,60   	 26,20   	 39,60   	P	0%
6118001200696	CYTARABINE EBEWE	CYTARABINE	100	MG	SOLUTION POUR PERFUSION	1 FLACON 5 ML	 42,00   	 26,20   	 42,00   	G	70%
6118001070824	FLEET PHOSPHO-SODA	HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE	10.8 / 24.4	G / G	SOLUTION BUVABLE	2 FLACON 45 ML	 128,00   	 84,65   	 128,00   	G	0%
6118000190707	NEOMOX	AMOXICILLINE	250	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 28,00   	 17,50   	 28,00   	G	70%
6118001050017	ANEXATE 0.5 MG / 5 ML	FLUMAZENIL	0.5	MG	SOLUTION INJECTABLE	1 BOITE 5 AMPOULE INJECTABLE	 1 079,00   	 713,80   	 1 079,00   	P	0%
6118001200306	RECOFOL	PROPOFOL	10	MG	EMULSION INJECTABLE	1 FLACON 50 ML	 -     	 140,00   	 140,00   	P	0%
6118001070602	TOBRADEX	TOBRAMYCINE / DEXAMETHASONE	3 / 1	MG / MG	POMMADE OPHTALMIQUE	1 TUBE 3.5 G	 60,00   	 39,65   	 60,00   	P	0%
6118000090199	BAITANET G	POLYVIDONE IODEE	10	%	SOLUTION GYNECOLOGIQUE	1 FLACON 550 ML	 41,00   	 27,10   	 41,00   	G	0%
6118000050568	CARDIX	CARVEDILOL	6.25	MG	COMPRIME SECABLE	1 BOITE 28 COMPRIME	 44,00   	 27,50   	 44,00   	G	70%
6118001183654	CLARELUX 500 µG	PROPIONATE DE CLOBETASOL	500	µG	MOUSSE	1 FLACON 100 G	 165,90   	 109,70   	 165,90   	P	0%
6118000040125	BISOLVON	BROMHEXINE	0.2	%	SOLUTION BUVABLE	1 FLACON 60 ML	 18,30   	 12,10   	 18,30   	P	0%
6118000220015	ANAFRANIL	CLOMIPRAMINE	25	MG	COMPRIME ENROBE	1 BOITE 30 COMPRIME ENROBE	 47,90   	 29,90   	 47,90   	P	70%
6118001170067	AROMASINE	EXEMESTANE	25	MG	COMPRIME ENROBE	1 BOITE 30 COMPRIME	 969,00   	 689,00   	 969,00   	P	70%
6118000150107	CLARADOL PLUS	PARACETAMOL / PROPYPHENAZONE	250 / 150	MG / MG	COMPRIME	1 BOITE 10 COMPRIME	 17,25   	 -     	 17,25   	P	0%
6118010121593	VANTEC	CETIRIZINE	10	MG	COMPRIME ENROBE SECABLE	1 BOITE 30 COMPRIME ENROBE	 37,70   	 23,50   	 37,70   	G	70%
6118000360049	VANTEC	CETIRIZINE	10	MG	COMPRIME ENROBE SECABLE	1 BOITE 30 COMPRIME ENROBE	 37,70   	 23,50   	 37,70   	G	70%
6118001010127	CEFOTRIM	CEFTRIAXONE	500	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 61,00   	 38,00   	 61,00   	G	70%
6118000230038	ACIVIR	ACICLOVIR	0.1	G	CREME	1 TUBE 2 G	 25,00   	 -     	 25,00   	G	0%
6118000170389	MADECASSOL	CENTELLA ASIATICA	1	%	POMMADE	1 TUBE 10 G	 24,00   	 15,90   	 24,00   	P	0%
6118000061311	MITOSYL IRRITATIONS	FOIE DE POISSON / ZINC	13 / 17.55	G / G	POMMADE	1 TUBE 65 G	 17,25   	 11,40   	 17,25   	P	0%
